"","SS_NoSpace","chng_type","SiteSeriesLongName","SpecialCode","Special"
"322","CWHvh3/110c","-","CwSs – Foamflower","",""
"323","CWHvh3/111","+","Ss – False lily-of-the-Valley","Fh","high fluvial bench"
"324","CWHvh3/111","-","Ss – False lily-of-the-Valley","Fh","High fluvial bench"
"325","CWHvh3/112","+","Ss – Trisetum","Fm","mid fluvial bench"
"326","CWHvh3/112","-","Ss – Trisetum","Fm","Mid fluvial bench"
"327","CWHvh3/116","+","Ss – Pacific crabapple – Slough sedge","SS","salt spray"
"328","CWHvh3/116","-","Ss – Pacific crab apple – Slough sedge","SS","Salt Spray"
"329","CWHvh3/117a","+","CwSs – Skunk cabbage; Mineral phase","",""
"330","CWHvh3/117a","-","CwSs – Skunk cabbage","",""
"331","CWHvh3/117b","+","CwSs – Skunk cabbage; Organic phase","",""
"332","CWHvh3/117b","-","CwSs – Skunk cabbage","",""
"333","CWHvh3/Wb53","+","PlcYc – Tufted clubrush","",""
"334","CWHvh3/Wb53.1","+","PlcYc – Tufted clubrush; Wooded variation","",""
"335","CWHvh3/Wb53.2","+","PlcYc – Tufted clubrush; Tall shrub variation","",""
"336","CWHvh3/Wb54","+","Yc – Tufted clubrush – Tufted hairgrass","",""
