SS_NoSpace,SiteSeriesLongName,SpecialCode,Special
SBPSdc/07,Sb – Scrub birch – Sedge,CA,cold aspects - cold air
SBPSdc/08,Sxw – Horsetail – Glow moss,,
SBPSmc/01,Pl – Feathermoss – Cladina,,
SBPSmc/01a,Pl – Feathermoss – Cladina; Mesic,,
SBPSmc/01b,Pl – Feathermoss – Cladina; Submesic,,
SBPSmc/02,Pl – Kinnikinnick – Cladonia,,
SBPSmc/03,SbPl – Feathermoss,FR,frost
SBPSmc/04,Sxw – Scrub birch – Feathermoss,FR,frost
SBPSmc/05,Sxw – Horsetail,,
SBPSmc/06,Sxw – Horsetail – Glow moss,,
SBPSmc/07,SbSxw – Scrub birch – Sedge,CA,cold aspects - cold air
SBPSmc/08,Sb  – Creeping-snowberry – Peat moss,,
SBPSmk/01,Pl – Pinegrass – Arnica,,
SBPSmk/02,Pl – Cladonia – Haircap moss,,
SBPSmk/03,Fd – Pinegrass – Aster,IN,insolation
SBPSmk/04,Pl – Pinegrass – Feathermoss,,
SBPSmk/04a,Pl – Pinegrass – Feathermoss; Typic,,
SBPSmk/04b,Pl – Pinegrass – Feathermoss; Sand,,
SBPSmk/05,SxwFd – Step moss,CAS,cold aspects
SBPSmk/06,Sxw – Twinberry,CA,cold aspects - cold air
SBPSmk/07,Sxw – Horsetail – Glow moss,,
SBPSmk/08,SbSxw – Scrub birch – Sedge,,
SBPSxc/01,Pl – Kinnikinnick – Feathermoss,,
SBPSxc/02,Pl – Kinnikinnick – Cladonia,,
SBPSxc/02a,Pl – Kinnikinnick – Cladonia; Typic,,
SBPSxc/02b,Pl – Kinnikinnick – Cladonia; Sand,,
SBPSxc/02c,Pl – Kinnikinnick – Cladonia; Shallow,,
SBPSxc/03,Sxw – Scrub birch – Fen moss,,
SBPSxc/04,Sxw – Scrub birch – Feathermoss,,
SBPSxc/05,Sxw – Horsetail – Glow moss,,
SBPSxc/06,Sxw – Horsetail – Meadowrue,,
SBSdh1/01,SxwFd – Ricegrass,,
SBSdh1/02,Pl – Velvet-leaved blueberry – Cladonia,,
SBSdh1/03,FdPl – Pinegrass – Feathermoss,,
SBSdh1/04,Pl – Pinegrass – Feathermoss,,
SBSdh1/05,Pl – Labrador tea – Velvet-leaved blueberry,,
SBSdh1/06,SxwFd – Thimbleberry,,
SBSdh1/07,Sxw – Horsetail,,
SBSdh1/08,Sb – Scrub birch – Sedge,,
SBSdk/01,Sxw – Spirea – Purple peavine,,
SBSdk/01a,Sxw – Spirea – Purple peavine; Fine-textured,,
SBSdk/01b,Sxw – Spirea – Purple peavine; Coarse-textured,,
SBSdk/02,Pl – Juniper – Ricegrass,,
SBSdk/03,Pl – Feathermoss – Cladina,,
SBSdk/04,Fd – Soopolallie – Feathermoss,IN,insolation
SBSdk/05,Sxw – Spirea – Feathermoss,,
SBSdk/06,Sxw – Twinberry – Coltsfoot,,
SBSdk/07,Sxw – Horsetail,,
SBSdk/07a,Sxw – Horsetail; Freely drained,Fh,high fluvial bench
SBSdk/07b,Sxw – Horsetail; Poorly drained,,
SBSdk/08,Act – Dogwood – Prickly rose,Fm,mid fluvial bench
SBSdk/08b,Act – Dogwood – Prickly rose; Medium-bench,Fm,mid fluvial bench
SBSdk/09,Sb – Creeping-snowberry – Sphagnum,CA,cold aspects - cold air
SBSdk/10,Sb – Soft-leaved sedge – Sphagnum,CA,cold aspects - cold air
SBSdw1/01,SxwFd – Pinegrass,,
SBSdw1/02,FdPl – Cladonia,,
SBSdw1/03,Fd – Saskatoon – Pinegrass,IN,insolation
SBSdw1/04,Pl – Pinegrass – Feathermoss,,
SBSdw1/05,SxwFd – Ricegrass,CAS,cold aspects
SBSdw1/06,SxwFd – Thimbleberry,,
SBSdw1/07,Sxw – Twinberry – Coltsfoot,Fh,high fluvial bench
SBSdw1/08,Sxw – Twinberry – Oak fern,,
SBSdw1/09,Sxw – Horsetail – Glow moss,,
SBSdw1/Wb01,Sb – Creeping-snowberry – Sphagnum,,
SBSdw1/Wb05,Sb – Water sedge – Peat moss,,
SBSdw2/01,SxwFd – Pinegrass,,
SBSdw2/02,FdPl – Cladonia,,
SBSdw2/03,Pl – Kinnikinnick – Wavy-leaved moss,,
SBSdw2/04,Fd – Pinegrass – Aster,IN,insolation
SBSdw2/05,SxwFd – Cat's-tail moss,CAS,cold aspects
SBSdw2/06,Pl – Pinegrass – Feathermoss,,
SBSdw2/07,PlSb – Feathermoss,FR,frost
SBSdw2/08,Sxw – Twinberry,CA,cold aspects - cold air
SBSdw2/09,Sxw – Devil's club – Knight's plume,,
SBSdw2/10,Sxw – Horsetail,,
SBSdw2/11,Sb – Soft-leaved sedge – Sphagnum,,
SBSdw2/12,Sb – Buckbean – Peat moss,,
SBSdw2/Wb01,Sb – Creeping-snowberry – Sphagnum,,
SBSdw2/Wb05,Sb – Water sedge – Peat moss,,
SBSdw3/01,SxwFd – Pinegrass,,
SBSdw3/02,FdPl – Cladonia,,
SBSdw3/03,Pl – Feathermoss – Cladina,IN,insolation
SBSdw3/04,SxwFd – Ricegrass,,
SBSdw3/05,PlSb – Feathermoss,FR,frost
SBSdw3/06,Sxw – Pink spirea – Prickly rose,,
SBSdw3/07,Sxw – Twinberry,,
SBSdw3/08,Sxw – Oak fern,,
SBSdw3/09,Sxw – Horsetail – Glow moss,,
SBSdw3/10,Sb – Soft-leaved sedge – Sphagnum,CA,cold aspects - cold air
SBSdw3/11,Sb – Water sedge – Peat moss,,
SBSdw3/12,Sb – Common horsetail – Peat moss,,
SBSmc1/01,Sxw – Huckleberry,,
SBSmc1/01a,Sxw – Huckleberry; Typic,,
SBSmc1/01b,Sxw – Huckleberry; Shallow,,
SBSmc1/01c,Sxw – Huckleberry; Sand,,
SBSmc1/02,Pl – Cladonia – Haircap moss,,
SBSmc1/03,Fd – Pinegrass – Aster,IN,insolation
SBSmc1/04,Sxw – Huckleberry – Labrador tea,CA,cold aspects - cold air
SBSmc1/05,Sxw – Spirea – Glow moss,CA,cold aspects - cold air
SBSmc1/06,Sxw – Oak fern,,
SBSmc1/07,Sxw – Devil's club – Step moss,,
SBSmc1/08,Sxw – Horsetail – Glow moss,CA,cold aspects - cold air
SBSmc2/01,Sxw – Huckleberry,,
SBSmc2/01a,Sxw – Huckleberry; Typic,,
SBSmc2/01b,Sxw – Huckleberry; Shallow,,
SBSmc2/01c,Sxw – Huckleberry; Submesic,,
SBSmc2/02,Pl – Huckleberry – Cladonia,,
SBSmc2/02a,Pl – Huckleberry – Cladonia; Typic,,
SBSmc2/02b,Pl – Huckleberry – Cladonia; Sand,,
SBSmc2/03,SbPl – Feathermoss,FR,frost
SBSmc2/04,Sxw – Huckleberry – Dwarf blueberry,CA,cold aspects - cold air
SBSmc2/05,Sxw – Twinberry – Coltsfoot,,
SBSmc2/06,Sxw – Oak fern,,
SBSmc2/07,Sxw – Scrub birch – Feathermoss,FR,frost
SBSmc2/08,Sxw – Twinberry – Oak fern,CA,cold aspects - cold air
SBSmc2/09,Sxw – Devil's club,,
SBSmc2/09a,Sxw – Devil's club; Fluvial,Fh,high fluvial bench
SBSmc2/09b,Sxw – Devil's club; Morainal,,
SBSmc2/10,Sxw – Horsetail,,
SBSmc2/10a,Sxw – Horsetail; Fluvial,Fh,high fluvial bench
SBSmc2/10b,Sxw – Horsetail; Lacustrine/morainal,,
SBSmc2/11,Sxw – Horsetail – Glow moss,,
SBSmc2/12,SbSxw – Scrub birch – Sedge,CA,cold aspects - cold air
SBSmc2/13,Sb – Soft-leaved sedge – Peat moss,,
SBSmc2/14,Sb – Common horsetail – Peat moss,,
SBSmc2/15,Pl – Few-flowered sedge – Peat moss,,
SBSmc2/16,Sb – Buckbean – Peat moss,,
SBSmc3/01,Sxw – Huckleberry,,
SBSmc3/02,Pl – Juniper – Dwarf blueberry,,
SBSmc3/03,Pl – Feathermoss – Cladina,,
SBSmc3/04,Sxw – Huckleberry – Soopolallie,,
SBSmc3/05,Sb – Huckleberry – Spirea,FR,frost
SBSmc3/06,SbPl – Feathermoss,FR,frost
SBSmc3/07,Sxw – Twinberry,,
SBSmc3/08,Sxw – Horsetail,,
SBSmc3/09,SbSxw – Scrub birch – Sedge,CA,cold aspects - cold air
SBSmh/01,SxwFd – Hazelnut,,
SBSmh/02,FdPl – Cladonia,,
SBSmh/03,FdPl – Velvet-leaved blueberry – Cladonia,,
SBSmh/04,Fd – Douglas maple – Step moss,IN,insolation
SBSmh/05,SxwFd – Feathermoss,,
SBSmh/06,SxwFd – Coltsfoot,,
SBSmh/07,SxwEp – Devil's club,,
SBSmh/08,Sxw – Ostrich fern,Fh,high fluvial bench
SBSmh/09,Sxw – Horsetail – Glow moss,,
SBSmk1/01,Sxw – Huckleberry – High bush-cranberry,,
SBSmk1/02,Pl – Cladina – Step moss,,
SBSmk1/03,Pl – Feathermoss – Cladina,,
SBSmk1/04,SxwFd – Knight's plume,IN,insolation
SBSmk1/05,SxwFd – Toad-flax,,
SBSmk1/06,Sb – Huckleberry – Spirea,FR,frost
SBSmk1/07,Sxw – Oak fern,,
SBSmk1/08,Sxw – Devil's club,Fh,high fluvial bench
SBSmk1/09,Sxw – Horsetail,,
SBSmk1/09a,Sxw – Horsetail; Fluvial,Fh,high fluvial bench
SBSmk1/09b,Sxw – Horsetail; Organic,,
SBSmk1/10,Sb – Scrub birch – Sedge,,
SBSmk2/01,Sxw – Huckleberry – High bush-cranberry,,
SBSmk2/02,Pl – Feathermoss – Cladina,,
SBSmk2/03,Sxw – Huckleberry – Soopolallie,,
SBSmk2/04,Sb – Huckleberry – Spirea,FR,frost
SBSmk2/05,Sxw – Oak fern,,
SBSmk2/06,Sxw – Horsetail,Fh,high fluvial bench
SBSmk2/07,Sb – Water sedge – Peat moss,,
SBSmm/01,Sxw – Falsebox – Knight's plume,,
SBSmm/02,Pl – Huckleberry – Cladonia,,
SBSmm/03,PlFd – Juniper,,
SBSmm/04,Pl – Soopolallie – Pinegrass,,
SBSmm/05,Sxw – Soopolallie – Falsebox,,
SBSmm/06,Sxw – Huckleberry – Falsebox,,
SBSmm/07,Sxw – Oak fern,,
SBSmm/08,Sxw – Horsetail,Fh,high fluvial bench
SBSmm/10,Sb – Water sedge – Peat moss,,
SBSmw/01,SxwFd – Falsebox,,
SBSmw/02,FdBl – Huckleberry,,
SBSmw/03,Pl – Huckleberry – Velvet-leaved blueberry,,
SBSmw/04,SxwFd – Knight's plume,IN,insolation
SBSmw/05,Sxw – Pink spirea,CA,cold aspects - cold air
SBSmw/06,Sxw – Oak fern,,
SBSmw/07,Sxw – Twinberry – Oak fern,,
SBSmw/08,Sxw – Devil's club,,
SBSmw/09,Sxw – Horsetail,,
SBSmw/10,SbSxw – Scrub birch – Sedge,,
SBSmw/11,Pl – Huckleberry – Knight's plume,,
SBSmw/12,Sxw – Pink spirea – Sphagnum,,
SBSmw/13,Sxw – Mountain alder – Lady fern,,
SBSmw/14,Sb  – Creeping-snowberry – Peat moss,,
SBSmw/15,Sb – Soft-leaved sedge – Peat moss,,
SBSmw/16,Sb – Common horsetail – Peat moss,,
SBSmw/Wb07,Pl – Water sedge – Peat moss,,
SBSmz/101,BlPliSxl – Bunchberry – False toadflax,,
SBSmz/101a,BlPliSxl – Bunchberry – False toadflax; Mesic phase,,
SBSmz/101b,BlPliSxl – Bunchberry – False toadflax; Subxeric phase,,
SBSmz/102,PliBl – Kinnikinnick – Clad lichens,,
SBSmz/104,BlPli – Crowberry – Feather moss,,
SBSmz/110,Bl – Oak fern – Bunchberry,,
SBSmz/111,BlSxl – Devil's club,,
SBSmz/112,BlSxl – High bush-cranberry – Horsetail,Fh,high fluvial bench
SBSmz/113,BlSxl – Scrub birch – Peat mosses,,
SBSmz/114,BlSxl – Horsetail – Peat mosses,,
SBSvc/101,BlSxl – Devil's club – Dogwood,,
SBSvc/102,PliBl – Juniper – Kinnikinnick,,
SBSvc/103,PliBl – Soopolallie,,
SBSvc/103.1,PliBl – Soopolallie; Prince's pine variation,,
SBSvc/103.2,PliBl – Soopolallie; Dogbane variation,,
SBSvc/104,PliSxlBl – False toadflax,,
SBSvc/105,PliBl – High bush-cranberry,,
SBSvc/110,BlSxl – Devil's club – Horsetail,,
SBSvc/Fm02,ActSxl – Dogwood,Fm,mid fluvial bench
SBSvk/01,Sxw – Devil's club,,
SBSvk/02,Pl – Huckleberry – Velvet-leaved blueberry,,
SBSvk/03,SxwFd – Thimbleberry,IN,insolation
SBSvk/04,Sxw – Oak fern,,
SBSvk/05,Sxw – Devil's club – Spiny wood fern,,
SBSvk/06,Sxw – Horsetail,,
SBSvk/07,Sxw – Devil's club – Ostrich fern,,
SBSvk/08,SbPl – Bog-laurel – Sphagnum,CA,cold aspects - cold air
SBSvk/09,Pl – Huckleberry – Cladina,,
SBSvk/10,Sxw – Skunk cabbage,,
SBSvk/13,Sb – Skunk cabbage – Peat moss,,
SBSwk1/01,Sxw – Oak fern,,
SBSwk1/02,Pl – Huckleberry – Cladina,,
SBSwk1/03,Pl – Huckleberry – Velvet-leaved blueberry,,
SBSwk1/04,SxwFd – Knight's plume,IN,insolation
SBSwk1/05,Sxw – Huckleberry – High bush-cranberry,,
SBSwk1/06,Sxw – Pink spirea – Oak fern,CA,cold aspects - cold air
SBSwk1/07,Sxw – Twinberry – Oak fern,CA,cold aspects - cold air
SBSwk1/08,Sxw – Devil's club,,
SBSwk1/09,Sxw – Horsetail,,
SBSwk1/10,Sxw – Devil's club – Lady fern,,
SBSwk1/11,SbSxw – Scrub birch – Sedge,CA,cold aspects - cold air
SBSwk1/12,SbPl – Feathermoss,FR,frost
SBSwk1/13,ActSxw – Red-osier dogwood,Fm,mid fluvial bench
SBSwk1/14,Pl – Bog-rosemary – Peat moss,,
SBSwk1/15,Sb – Common horsetail – Peat moss,,
SBSwk1/16,Sb – Buckbean – Peat moss,,
SBSwk1/17,Sb – Skunk cabbage – Peat moss,,
SBSwk2/01,Sxw – Oak fern,,
SBSwk2/02,Pl – Huckleberry – Cladina,,
SBSwk2/03,Sxw – Huckleberry – High bush-cranberry,,
SBSwk2/04,SbPl – Feathermoss,FR,frost
SBSwk2/05,Sxw – Devil's club,,
SBSwk2/06,Sxw – Horsetail,,
SBSwk2/07,Lt – Water sedge – Fen Moss,,
SBSwk3/01,Sxw – Oak fern,,
SBSwk3/02,Pl – Huckleberry – Cladina,,
SBSwk3/03,SxwFd – Purple peavine,,
SBSwk3/04,Sxw – Huckleberry – High bush-cranberry,,
SBSwk3/05,Sb – Labrador tea,FR,frost
SBSwk3/06,Sxw – Twinberry – Coltsfoot,,
SBSwk3/07,Sxw – Devil's club,,
SBSwk3/08,Sxw – Horsetail,,
SBSwk3a/01,Sxw – Dogwood – Fairybells,,
SBSwk3a/02,Pl – Huckleberry – Cladina,,
SBSwk3a/03,SxwFd – Purple peavine,,
SBSwk3a/04,SxwFd – Birch-leaved spirea – Feathermoss,,
SBSwk3a/05,Sb – Labrador tea,FR,frost
SBSwk3a/06,Sxw – Twinberry – Coltsfoot,,
SBSwk3a/07,Sxw – Devil's club,,
SBSwk3a/08,Sxw – Horsetail,Fh,high fluvial bench
SWBmk/01,Sw – Grey-leaved willow – Scrub birch,,
SWBmk/02,Sw – Scrub birch – Cladina,,
SWBmk/03,Sw – Juniper – Wildrye,CA,cold aspects - cold air
SWBmk/04,Sw – Arctic lupine – Step moss,IN,insolation
SWBmk/05,Sw – Willow – Crowberry,CAS,cold aspects
SWBmk/06,Sw – Willow – Step moss,,
SWBmk/07,Sw – Scrub birch – Bluejoint,CAS,cold aspects
SWBmk/08,Sw – Shrubby cinquefoil – Horsetail,,
SWBmk/09,Sw – Horsetail – Sphagnum,,
