"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange","Zone","Note","Region"
"187","ICHwc","ICHwc/06","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"188","ICHwc","ICHwc/08","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"189","ICHwc","ICHwc/01","Hw",1,"Hw",NA,NA,FALSE,"ICH",NA,"SKE"
"190","ICHwc","ICHwc/02","Hw",3,"Hw",NA,NA,FALSE,"ICH",NA,"SKE"
"191","ICHwc","ICHwc/03","Hw",1,"Hw",NA,NA,FALSE,"ICH",NA,"SKE"
"192","ICHwc","ICHwc/04","Hw",2,"Hw",NA,NA,FALSE,"ICH",NA,"SKE"
"193","ICHwc","ICHwc/05","Hw",2,"Hw",NA,NA,FALSE,"ICH",NA,"SKE"
"194","ICHwc","ICHwc/06","Hw",3,"Hw",NA,NA,FALSE,"ICH",NA,"SKE"
"195","ICHwc","ICHwc/07","Hw",3,"Hw",NA,NA,FALSE,"ICH",NA,"SKE"
"196","ICHwc","ICHwc/08","Hw",3,"Hw",NA,NA,FALSE,"ICH",NA,"SKE"
"197","ICHwc","ICHwc/01","Pli",2,"Pl",NA,NA,FALSE,"ICH",NA,"SKE"
"198","ICHwc","ICHwc/02","Pli",2,"Pl",NA,NA,FALSE,"ICH",NA,"SKE"
"199","ICHwc","ICHwc/03","Pli",1,"Pl",NA,NA,FALSE,"ICH",NA,"SKE"
"200","ICHwc","ICHwc/04","Pli",3,"Pl",NA,NA,FALSE,"ICH",NA,"SKE"
"201","ICHwc","ICHwc/05","Pli",3,"Pl",NA,NA,FALSE,"ICH",NA,"SKE"
"202","ICHwc","ICHwc/06","Pli",3,"Pl",NA,NA,FALSE,"ICH",NA,"SKE"
"203","ICHwc","ICHwc/07","Pli",3,"Pl",NA,NA,FALSE,"ICH",NA,"SKE"
"204","ICHwc","ICHwc/01","Sxw",1,"Sx",NA,NA,FALSE,"ICH",NA,"SKE"
"205","ICHwc","ICHwc/03","Sxw",1,"Sx",NA,NA,FALSE,"ICH",NA,"SKE"
